# ----------------------------------------
# Todos os dados do website
# Termos de pesquisa
# 20190702-20190708
# ----------------------------------------

Termo de pesquisa,Total de pesquisas exclusivas,Visualizações de página dos resultados/Pesquisa,Porcentagem de saídas de pesquisa,Porcentagem de refinamentos de pesquisa,Tempo depois da pesquisa,Média de páginas por visita
resultado prova objetiva agente educador,2,"5,00","100,00%","0,00%",00:01:21,"0,00"
Resultados do concurso,2,"4,00","50,00%","0,00%",00:01:28,"5,00"
Resumapas,2,"2,00","0,00%","0,00%",00:00:20,"1,00"
Ri,2,"6,00","50,00%","8,33%",00:06:17,"2,50"
rio,2,"2,50","0,00%","20,00%",00:00:43,"1,00"
Rio bonito rj,2,"2,00","0,00%","0,00%",00:00:27,"1,00"
RIO DAS OSTRAS,2,"4,00","100,00%","0,00%",00:01:27,"2,00"
Rio de janeiro RJ,2,"3,50","50,00%","0,00%",00:07:11,"4,50"
rio grande do norte,2,"4,00","0,00%","0,00%",00:21:10,"32,00"
Rj 2019,2,"4,50","0,00%","11,11%",00:02:28,"8,50"
RJ 8 mil vagas,2,"1,00","100,00%","0,00%",00:00:00,"0,00"
Roberta,2,"9,50","50,00%","0,00%",00:01:53,"0,50"
Roraima,2,"3,00","50,00%","0,00%",00:00:16,"0,50"
Saae,2,"2,00","0,00%","25,00%",00:03:07,"2,00"
Sanasa,2,"2,00","50,00%","0,00%",00:00:22,"1,50"
Santa Maria,2,"5,00","50,00%","10,00%",00:02:34,"1,00"
são bento do sul,2,"2,00","0,00%","0,00%",00:00:10,"1,00"
São gonçalo,2,"2,50","0,00%","20,00%",00:04:37,"4,50"
sao joao da barra,2,"2,00","0,00%","0,00%",00:04:26,"7,00"
são josé do rio preto,2,"3,00","50,00%","16,67%",00:01:09,"2,00"
São José do Rio preto,2,"4,50","100,00%","0,00%",00:01:30,"2,00"
São José do Vale do Rio Preto,2,"1,50","100,00%","0,00%",00:00:00,"0,00"
São José dos Campos,2,"2,00","0,00%","25,00%",00:00:16,"1,00"
São pedro,2,"3,00","50,00%","16,67%",00:00:13,"0,00"
sargento,2,"8,00","0,00%","12,50%",00:02:58,"7,50"
saude bucal,2,"3,00","0,00%","16,67%",00:16:44,"26,00"
saude rio,2,"2,00","50,00%","0,00%",00:12:50,"2,50"
SEAP,2,"2,50","0,00%","20,00%",00:01:27,"1,00"
SEAP RJ,2,"1,50","50,00%","0,00%",00:00:29,"1,00"
secretaria de educação,2,"5,50","0,00%","0,00%",00:01:52,"3,00"
Seduc,2,"3,50","0,00%","14,29%",00:00:37,"2,50"
see 2018,2,"3,00","0,00%","0,00%",00:05:17,"9,50"
Seeduc,2,"2,00","0,00%","0,00%",00:05:00,"3,50"
seeduc rj,2,"2,00","0,00%","0,00%",00:10:52,"3,50"
SEFAZ Alagoas,2,"2,50","100,00%","20,00%",00:00:16,"0,00"
SEFAZ BA,2,"1,50","0,00%","0,00%",00:00:37,"3,50"
sefaz ce,2,"2,00","50,00%","25,00%",00:01:02,"1,50"
sefaz-sp,2,"2,00","50,00%","0,00%",00:00:07,"1,00"
segurança do trabalho,2,"1,50","50,00%","0,00%",00:08:08,"13,00"
Segurança pública,2,"5,00","0,00%","20,00%",00:02:52,"2,00"
Semsa,2,"2,00","0,00%","0,00%",00:00:28,"2,50"
senado,2,"2,00","0,00%","50,00%",00:02:26,"3,00"
senador canedo,2,"2,00","50,00%","0,00%",00:11:49,"1,00"
Senador Canedo,2,"1,50","50,00%","0,00%",00:00:12,"0,50"
seropédica,2,"2,00","0,00%","50,00%",00:03:03,"3,50"
serviço militar volntario,2,"4,00","0,00%","25,00%",00:00:47,"0,00"
serviço militar voluntario,2,"1,50","50,00%","0,00%",00:00:42,"1,50"
Serviços gerais,2,"2,00","50,00%","0,00%",00:02:11,"3,00"
Servidor publico,2,"2,00","0,00%","50,00%",00:21:11,"2,50"
Simulado comlurb,2,"1,50","0,00%","33,33%",00:15:13,"7,50"
simulado direito constitucional,2,"2,00","0,00%","0,00%",00:19:57,"11,00"
Sme rio,2,"3,00","50,00%","0,00%",00:00:31,"1,50"
Sme rio agente de apoio,2,"1,00","0,00%","50,00%",00:04:14,"2,50"
Sme Rj,2,"2,00","100,00%","0,00%",00:13:45,"0,00"
SME SP,2,"1,50","0,00%","33,33%",00:01:06,"2,00"
SME- agente educador,2,"1,50","0,00%","0,00%",00:01:09,"3,50"
sme-rio,2,"2,50","0,00%","40,00%",00:29:34,"23,50"
SME-RJ,2,"2,50","0,00%","20,00%",00:07:50,"3,00"
Smerj,2,"2,50","50,00%","0,00%",00:07:48,"6,50"
smf-rj,2,"3,00","50,00%","16,67%",00:00:24,"1,00"
Sms rio,2,"2,00","0,00%","0,00%",00:02:04,"2,50"
SMS rio,2,"1,50","0,00%","0,00%",00:01:31,"2,00"
SMS- Rj,2,"1,50","0,00%","33,33%",00:00:11,"1,00"
sms-rio,2,"2,00","50,00%","25,00%",00:03:39,"1,00"
SMS-RJ,2,"2,00","0,00%","0,00%",00:02:42,"9,00"
Socioeducativo,2,"3,00","100,00%","0,00%",00:02:49,"1,00"
sociologia,2,"1,50","0,00%","66,67%",00:01:04,"4,50"
Soldado,2,"2,00","100,00%","0,00%",00:00:00,"0,00"
Soldado pmerj,2,"1,50","50,00%","0,00%",00:00:02,"1,00"
SP,2,"4,00","100,00%","0,00%",00:00:58,"1,50"
stefanini,2,"2,50","50,00%","20,00%",00:01:23,"0,00"
stn,2,"1,50","0,00%","66,67%",00:00:23,"1,00"
Taf 2019,2,"3,00","0,00%","33,33%",00:01:06,"0,50"
tc,2,"3,00","0,00%","16,67%",00:09:56,"3,00"
tc df,2,"2,00","0,00%","0,00%",00:27:03,"10,00"
Tce,2,"1,50","0,00%","33,33%",00:01:21,"1,00"
TCE RO,2,"2,00","50,00%","0,00%",00:00:03,"0,50"
tcerj,2,"2,00","0,00%","25,00%",00:07:02,"9,00"
TCM_RJ,2,"2,00","0,00%","0,00%",00:00:16,"2,00"
Tcm-rj,2,"3,00","0,00%","33,33%",00:02:33,"1,50"
tcm-sp,2,"1,50","0,00%","33,33%",00:00:54,"1,50"
TCU,2,"2,50","50,00%","0,00%",00:00:48,"2,00"
tcu rj,2,"1,50","50,00%","33,33%",00:00:04,"0,00"
Tec necropsia,2,"1,50","0,00%","0,00%",00:02:08,"5,50"
Tecnico,2,"3,50","50,00%","0,00%",00:04:50,"1,00"
TECNICO,2,"1,00","0,00%","100,00%",00:00:48,"0,00"
tecnico administrativo,2,"3,00","0,00%","16,67%",00:01:49,"5,50"
TECNICO ADMINISTRATIVO,2,"4,00","50,00%","0,00%",00:02:32,"2,50"
Técnico de laboratório,2,"2,50","0,00%","40,00%",00:03:20,"0,00"
Técnico de necropsia 2009,2,"6,50","0,00%","30,77%",00:04:07,"0,50"
tecnico de radiologia,2,"2,00","50,00%","25,00%",00:02:20,"4,00"
tecnico em enfermagem,2,"4,50","100,00%","0,00%",00:01:32,"0,00"
técnico em necropsia,2,"6,50","0,00%","7,69%",00:09:11,"8,00"
técnico em Necropsia,2,"1,00","0,00%","100,00%",00:01:48,"1,50"
Técnico Ibge,2,"1,50","50,00%","0,00%",00:02:51,"3,00"
Técnico Necropcia,2,"1,50","100,00%","0,00%",00:00:00,"0,00"
técnico necropicia,2,"3,00","0,00%","33,33%",00:00:54,"0,50"
Tecnico Necropsia,2,"3,00","0,00%","0,00%",00:00:50,"6,00"
TECNICO NECROPSIA,2,"2,00","0,00%","0,00%",00:01:57,"6,50"
TECNICO POLICIAL DE NECROPSIA,2,"1,00","0,00%","0,00%",00:20:17,"17,00"
tecnologia,2,"4,00","50,00%","12,50%",00:00:17,"0,00"
Telegram,2,"1,50","50,00%","0,00%",00:01:37,"2,00"
Tem,2,"3,50","0,00%","42,86%",00:00:15,"0,50"
Tem rj,2,"1,00","0,00%","100,00%",00:00:24,"0,00"
teresopolis,2,"2,50","0,00%","0,00%",00:17:14,"4,50"
teste,2,"7,00","50,00%","0,00%",00:06:11,"9,00"
teste físico,2,"1,50","0,00%","33,33%",00:01:14,"2,00"
Teste físico,2,"2,50","50,00%","0,00%",00:05:31,"2,00"
texto,2,"1,50","0,00%","0,00%",00:00:31,"3,50"
tfr3,2,"3,00","0,00%","50,00%",00:02:18,"6,00"
título,2,"2,50","0,00%","40,00%",00:03:09,"6,00"
tj - RJ,2,"1,50","0,00%","0,00%",00:00:14,"1,50"
TJ - RJ,2,"3,00","50,00%","0,00%",00:00:35,"1,50"
TJ -RJ,2,"3,50","0,00%","71,43%",00:05:23,"2,00"
TJ Amazonas,2,"1,50","0,00%","66,67%",00:00:08,"0,00"
TJ BA,2,"2,50","50,00%","0,00%",00:03:43,"1,00"
TJ PA,2,"3,00","0,00%","0,00%",00:01:02,"2,00"
tj paraná,2,"1,50","100,00%","0,00%",00:00:00,"0,00"
tj pe,2,"1,50","50,00%","33,33%",00:00:11,"0,00"
tj pr,2,"2,00","0,00%","0,00%",00:00:22,"4,00"
tj RJ,2,"2,00","0,00%","0,00%",00:10:35,"2,50"
TJ RJ servidor,2,"1,50","50,00%","0,00%",00:00:12,"0,50"
tj rs,2,"1,50","50,00%","33,33%",00:00:14,"0,00"
Tj rs,2,"3,00","0,00%","0,00%",00:01:40,"3,00"
tj to,2,"2,00","50,00%","25,00%",00:00:16,"0,00"
tj-al,2,"1,50","0,00%","0,00%",00:03:59,"2,00"
Tj-ce,2,"2,00","50,00%","0,00%",00:00:21,"0,50"
TJ-GO,2,"2,00","0,00%","50,00%",00:03:00,"2,00"
Tj-mg,2,"2,00","0,00%","0,00%",00:03:55,"6,50"
TJ-MT,2,"1,50","0,00%","66,67%",00:00:49,"0,00"
TJ-PA,2,"2,00","50,00%","25,00%",00:00:19,"0,00"
tj-pb,2,"1,50","100,00%","0,00%",00:00:00,"0,00"
TJ-PR Técnico Judiciário,2,"1,50","0,00%","0,00%",00:00:31,"3,00"
tjal,2,"2,00","0,00%","0,00%",00:04:05,"8,00"
Tjce,2,"1,50","0,00%","33,33%",00:05:53,"3,00"
tjdft,2,"2,00","50,00%","0,00%",00:01:17,"3,00"
tjpe,2,"2,00","0,00%","0,00%",00:03:49,"6,50"
tjrj 2019,2,"2,00","50,00%","0,00%",00:18:22,"14,00"
Tjsp,2,"1,50","50,00%","0,00%",00:00:07,"0,50"
Tjto,2,"2,00","0,00%","50,00%",00:00:22,"0,00"
To buscando a lista dos aprovados no concurso de Grajaú,2,"11,50","100,00%","0,00%",00:06:06,"0,00"
tocantins,2,"4,50","0,00%","22,22%",00:01:50,"2,00"
transpetro,2,"2,00","0,00%","0,00%",00:04:43,"7,00"
tre - pb,2,"2,00","0,00%","0,00%",00:05:24,"2,50"
tre ce,2,"2,00","50,00%","0,00%",00:01:11,"9,50"
tre sp,2,"3,00","50,00%","16,67%",00:01:30,"3,00"
TRE-MG,2,"2,00","0,00%","0,00%",00:02:02,"3,50"
Trensurb,2,"1,50","0,00%","0,00%",00:02:40,"9,50"
trf 1,2,"2,50","0,00%","20,00%",00:05:02,"6,00"
tribunal de justiça do rio de janeiro,2,"1,00","50,00%","50,00%",00:00:08,"0,00"
trt -pe,2,"2,00","100,00%","0,00%",00:00:00,"0,00"
trt 5,2,"4,00","0,00%","12,50%",00:01:25,"2,00"
trt mg,2,"3,00","100,00%","0,00%",00:00:05,"0,00"
Trt2,2,"1,50","50,00%","0,00%",00:01:27,"0,50"
Tu rj,2,"1,50","0,00%","33,33%",00:00:18,"1,00"
Turismo,2,"1,50","50,00%","0,00%",00:00:36,"0,50"
ufam,2,"1,50","0,00%","0,00%",00:00:22,"2,00"
Ufc,2,"1,50","100,00%","0,00%",00:00:00,"0,00"
ufcg,2,"2,00","0,00%","50,00%",00:00:18,"1,50"
ufes,2,"3,00","0,00%","0,00%",00:01:04,"5,00"
uffs,2,"2,00","50,00%","0,00%",00:00:21,"3,00"
Ufjf,2,"1,50","0,00%","0,00%",00:01:01,"4,50"
Ufpb,2,"2,50","0,00%","0,00%",00:00:46,"1,00"
Última prova,2,"5,00","0,00%","0,00%",00:05:03,"6,50"
Últimas provas,2,"2,50","0,00%","0,00%",00:04:39,"3,50"
Uni Rio,2,"1,50","0,00%","66,67%",00:03:07,"3,00"
UNI RIO,2,"3,00","0,00%","16,67%",00:02:27,"4,00"
uni-rio,2,"6,00","50,00%","0,00%",00:02:22,"4,00"
UNILAB,2,"3,00","0,00%","33,33%",00:03:42,"12,00"
uNIrIO,2,"2,00","0,00%","50,00%",00:23:17,"8,50"
UNIRIO RJ,2,"3,00","0,00%","16,67%",00:01:53,"3,50"
universidade,2,"3,00","50,00%","0,00%",00:00:21,"1,00"
Unodontologiairio,2,"2,00","50,00%","25,00%",00:00:07,"0,00"
URFRN,2,"2,00","50,00%","25,00%",00:01:15,"0,00"
URRN,2,"2,50","50,00%","20,00%",00:00:55,"0,00"
Vaga de emprego,2,"3,00","0,00%","16,67%",00:01:14,"3,50"
vagas,2,"2,00","0,00%","0,00%",00:02:53,"9,50"
Vagas de emprego na Comlurb,2,"5,50","100,00%","0,00%",00:05:59,"0,00"
vassouras,2,"2,00","50,00%","0,00%",00:08:14,"7,50"
Vassouras,2,"2,00","0,00%","50,00%",00:03:56,"4,50"
veterinária,2,"2,50","0,00%","20,00%",00:00:41,"2,00"
veterinario,2,"1,50","0,00%","0,00%",00:04:04,"2,00"
veterinário,2,"1,50","0,00%","0,00%",00:02:50,"5,50"
vigilancia,2,"2,00","0,00%","50,00%",00:00:16,"0,00"
VIGILANCIA,2,"3,00","50,00%","0,00%",00:02:08,"4,00"
VIGILANCIA SANITARIA,2,"2,50","50,00%","0,00%",00:00:51,"2,00"
Vigilância sanitária rio de janeiro,2,"1,00","50,00%","0,00%",00:05:40,"12,50"
vigilante,2,"3,00","50,00%","16,67%",00:00:56,"3,00"
Vitória,2,"1,50","0,00%","66,67%",00:03:37,"9,50"
volta redonda,2,"4,50","0,00%","11,11%",00:01:10,"3,00"
Volta redonda,2,"3,00","50,00%","16,67%",00:00:27,"1,00"
 - -,1,"1,00","0,00%","0,00%",00:00:42,"2,00"
. m,1,"1,00","100,00%","0,00%",00:00:00,"0,00"
..,1,"1,00","0,00%","0,00%",00:06:41,"10,00"
"""agente policial""",1,"2,00","0,00%","50,00%",00:00:23,"0,00"
"""posse trt sp""",1,"2,00","100,00%","0,00%",00:00:00,"0,00"
*IBGE,1,"2,00","0,00%","50,00%",00:00:53,"0,00"
0,1,"1,00","100,00%","0,00%",00:00:00,"0,00"
020607180808,1,"7,00","0,00%","14,29%",00:01:28,"3,00"
04/07/2019,1,"8,00","100,00%","0,00%",00:01:27,"0,00"
1000,1,"4,00","0,00%","50,00%",00:01:01,"0,00"
123,1,"3,00","0,00%","33,33%",00:02:06,"3,00"
1234,1,"1,00","100,00%","0,00%",00:00:00,"0,00"
123456789,1,"4,00","0,00%","0,00%",00:03:36,"9,00"
12rm,1,"9,00","0,00%","0,00%",00:07:36,"3,00"
13,1,"5,00","0,00%","20,00%",00:02:13,"1,00"
13 trib justiça rj,1,"2,00","0,00%","50,00%",00:00:20,"0,00"
16 mil,1,"2,00","0,00%","0,00%",00:00:14,"1,00"
16/06/2019,1,"2,00","0,00%","0,00%",00:01:02,"6,00"
160 vagas,1,"2,00","0,00%","50,00%",00:13:16,"1,00"
18 mil,1,"2,00","0,00%","0,00%",00:20:16,"4,00"
1850187,1,"2,00","0,00%","0,00%",00:00:11,"1,00"
1851890,1,"2,00","0,00%","50,00%",00:00:07,"0,00"
1900,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
2,1,"1,00","100,00%","0,00%",00:00:00,"0,00"
2002,1,"2,00","0,00%","0,00%",00:00:57,"10,00"
2004,1,"2,00","0,00%","50,00%",00:00:59,"0,00"
2005,1,"3,00","0,00%","66,67%",00:00:31,"0,00"
2006,1,"1,00","0,00%","100,00%",00:00:07,"0,00"
2011,1,"10,00","100,00%","0,00%",00:02:39,"0,00"
2017,1,"2,00","100,00%","0,00%",00:00:46,"2,00"
2018,1,"1,00","0,00%","100,00%",00:00:18,"0,00"
2019concurso de silva jardim,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
260107,1,"6,00","100,00%","0,00%",00:02:30,"0,00"
2770,1,"1,00","0,00%","0,00%",00:00:28,"2,00"
2776,1,"2,00","0,00%","50,00%",00:00:38,"5,00"
2ª instância,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
2o19,1,"3,00","0,00%","0,00%",00:12:36,"10,00"
346/2019,1,"1,00","100,00%","0,00%",00:00:00,"0,00"
44160,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
45%,1,"2,00","0,00%","50,00%",00:04:35,"1,00"
47%,1,"3,00","0,00%","66,67%",00:00:27,"6,00"
750.000 cruzeiros transformados em reais?,1,"6,00","100,00%","0,00%",00:00:39,"4,00"
8000 vagas no Rio de Janeiro,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
8112,1,"2,00","0,00%","50,00%",00:10:48,"8,00"
A,1,"2,00","0,00%","0,00%",00:00:27,"1,00"
A classificação,1,"2,00","0,00%","0,00%",00:39:05,"4,00"
A classificação de candidatos,1,"4,00","100,00%","0,00%",00:00:55,"1,00"
A confirmação da lista dos candidatos e onde vai ser o local de prova,1,"1,00","100,00%","0,00%",00:00:00,"0,00"
a data da prova do concurso continua a mesma ou ainda vao definir,1,"3,00","0,00%","0,00%",00:03:50,"2,00"
A escrição da colurb do rio está aberta ainda,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
A farda do emgeihero quimico damarinha,1,"1,00","100,00%","0,00%",00:00:00,"0,00"
a gente educador,1,"2,00","0,00%","0,00%",00:00:45,"1,00"
A gente educador 2019,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
A gente penitenciário estadual,1,"1,00","0,00%","0,00%",00:06:01,"5,00"
a importânvia da capacitação,1,"2,00","0,00%","50,00%",00:01:22,"7,00"
A inscrição do concurso,1,"4,00","0,00%","25,00%",00:06:15,"4,00"
a jornada do auditor de controle,1,"1,00","0,00%","0,00%",00:00:39,"2,00"
A leitura nutre a inteligência,1,"2,00","100,00%","0,00%",00:00:01,"0,00"
A lista da prova de ajente educador,1,"4,00","0,00%","0,00%",00:12:32,"3,00"
A lista de convocação pf feita pelo presidente Bolsonaro,1,"8,00","0,00%","0,00%",00:03:23,"1,00"
a lista do aprovado,1,"1,00","100,00%","0,00%",00:00:00,"0,00"
A lista doas pessoas que passou na prova da mgs e foi ja ser efetivado nesta sexta feira saiu o resultado quero ver se meu nome esta na lista ja de 2.019,1,"7,00","100,00%","0,00%",00:06:43,"0,00"
A lista dos aprovado,1,"4,00","0,00%","0,00%",00:02:19,"1,00"
a lista dos que passaro na prova de guarda civil de petrolina - pe,1,"4,00","0,00%","0,00%",00:01:19,"7,00"
A listagem de nome de aprovados do concurso público para educador,1,"10,00","0,00%","10,00%",00:08:41,"10,00"
A mulher e o mercado de trabalho,1,"1,00","0,00%","0,00%",00:12:49,"2,00"
A qlistagem de nome de aprovados do concurso público para educador,1,"2,00","0,00%","50,00%",00:00:10,"0,00"
A.T.E,1,"2,00","0,00%","50,00%",00:00:28,"0,00"
Aaa,1,"1,00","100,00%","0,00%",00:00:00,"0,00"
aAdministraçao,1,"2,00","0,00%","50,00%",00:00:10,"0,00"
aberto,1,"2,00","0,00%","0,00%",00:01:54,"4,00"
ABERTO,1,"2,00","0,00%","0,00%",00:00:19,"1,00"
Abostilasdoconcursoriobonitofundamental,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
Abre Concurso público - AL,1,"3,00","0,00%","0,00%",00:26:00,"23,00"
Acidente,1,"1,00","100,00%","0,00%",00:00:00,"0,00"
acompanhamento de concurso agente educador II SME,1,"2,00","0,00%","50,00%",00:01:58,"0,00"
Acumulação,1,"1,00","0,00%","0,00%",00:00:32,"2,00"
adaf,1,"2,00","0,00%","0,00%",00:00:29,"1,00"
adagro,1,"2,00","0,00%","50,00%",00:00:51,"1,00"
adapar,1,"4,00","100,00%","0,00%",00:00:21,"0,00"
adiado,1,"3,00","0,00%","33,33%",00:01:13,"8,00"
adiministraçao,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
Adjunto nota final,1,"3,00","100,00%","0,00%",00:01:02,"0,00"
Adjunto sme,1,"2,00","0,00%","0,00%",00:00:11,"1,00"
Adjunto sme rj,1,"2,00","0,00%","50,00%",00:00:14,"0,00"
adm,1,"2,00","0,00%","0,00%",00:01:35,"4,00"
admin,1,"2,00","0,00%","0,00%",00:36:12,"10,00"
admini,1,"2,00","0,00%","50,00%",00:00:25,"7,00"
Administra,1,"6,00","0,00%","0,00%",00:01:35,"10,00"
administraçao,1,"4,00","100,00%","0,00%",00:00:50,"0,00"
administrador rj,1,"2,00","0,00%","50,00%",00:02:00,"1,00"
Administrador ufrrj,1,"1,00","0,00%","0,00%",00:00:35,"2,00"
Administrativa,1,"4,00","0,00%","0,00%",00:13:53,"14,00"
ADMINISTRATIVO PEDRO 2,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
administrativo pf,1,"2,00","0,00%","0,00%",00:00:15,"2,00"
Administrativo polícia 2019 rj,1,"2,00","0,00%","0,00%",00:05:01,"1,00"
administrativo policia federal,1,"2,00","0,00%","0,00%",00:05:55,"4,00"
Administrativo unirio,1,"2,00","0,00%","0,00%",00:01:51,"1,00"
Aeronautica,1,"6,00","100,00%","0,00%",00:01:29,"2,00"
Aeronáutica cfs,1,"4,00","0,00%","25,00%",00:08:04,"16,00"
Aeronáutica EAGS,1,"4,00","0,00%","0,00%",00:03:11,"3,00"
aeronáutica ensino superior,1,"2,00","0,00%","50,00%",00:00:29,"0,00"
aeronautica oficial temporário,1,"2,00","0,00%","50,00%",00:01:03,"1,00"
Aeronáutica tatuagem,1,"2,00","0,00%","0,00%",00:00:06,"1,00"
afa,1,"4,00","0,00%","0,00%",00:03:39,"12,00"
AFO,1,"4,00","100,00%","0,00%",00:02:19,"3,00"
Afrf,1,"2,00","0,00%","50,00%",00:00:12,"0,00"
ag,1,"4,00","0,00%","25,00%",00:06:39,"3,00"
ag. pr,1,"2,00","0,00%","0,00%",00:01:03,"1,00"
Ágape df,1,"2,00","0,00%","50,00%",00:00:15,"0,00"
Age,1,"1,00","0,00%","0,00%",00:30:46,"5,00"
Age cias,1,"2,00","0,00%","50,00%",00:00:19,"0,00"
agência,1,"4,00","0,00%","25,00%",00:21:31,"4,00"
agência sanitaria 2019,1,"2,00","0,00%","50,00%",00:00:09,"0,00"
agencias reguladora,1,"4,00","0,00%","0,00%",00:02:33,"4,00"
Agencias reguladoras,1,"7,00","100,00%","0,00%",00:01:43,"7,00"
agende documentacao,1,"3,00","0,00%","0,00%",00:00:57,"2,00"
AGENTE,1,"2,00","0,00%","0,00%",00:00:12,"4,00"
Agente ADM pf,1,"4,00","0,00%","25,00%",00:01:08,"1,00"
agente administrativo da polícia rodoviaria federal,1,"2,00","0,00%","50,00%",00:12:20,"8,00"
agente administrativo pf,1,"2,00","0,00%","0,00%",00:20:09,"10,00"
AGENTE ADMINISTRATIVO PF,1,"2,00","0,00%","0,00%",00:01:05,"2,00"
agente administrativo policia federal,1,"1,00","0,00%","0,00%",00:00:16,"1,00"
Agente administrativo polícia federal,1,"2,00","0,00%","0,00%",00:00:07,"2,00"
Agente administrativo polícia Federal,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
Agente aducador2,1,"2,00","0,00%","50,00%",00:00:30,"0,00"
agente censitario,1,"2,00","0,00%","0,00%",00:00:08,"1,00"
Agente comunitário de saúde,1,"8,00","0,00%","12,50%",00:00:41,"0,00"
agente de cadeia,1,"4,00","0,00%","0,00%",00:00:40,"3,00"
Agente de campo,1,"2,00","0,00%","0,00%",00:00:05,"2,00"
Agente de combate à endemias,1,"1,00","100,00%","0,00%",00:00:00,"0,00"
Agente de documentacao,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
agente de documentação,1,"5,00","0,00%","20,00%",00:04:11,"6,00"
agente de documentação medica,1,"2,00","0,00%","50,00%",00:01:11,"0,00"
Agente de documentação medica,1,"2,00","0,00%","0,00%",00:00:10,"1,00"
agente de documentação médica,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
AGENTE DE DOCUMENTAÇÃO MÉDICA,1,"5,00","0,00%","0,00%",00:24:44,"16,00"
agente de educação,1,"2,00","0,00%","0,00%",00:00:23,"1,00"
agente de educaçao 2,1,"2,00","0,00%","0,00%",00:00:35,"3,00"
agente de educação infantil,1,"1,00","0,00%","0,00%",00:00:36,"2,00"
Agente de Educação infantil,1,"2,00","0,00%","50,00%",00:18:41,"4,00"
Agente de educador,1,"2,00","0,00%","0,00%",00:06:24,"6,00"
agente de endemias,1,"2,00","100,00%","0,00%",00:00:03,"0,00"
Agente de endemias,1,"3,00","0,00%","33,33%",00:00:42,"1,00"
Agente de endemias 2008,1,"3,00","0,00%","33,33%",00:01:21,"8,00"
Agente de Fazenda RJ,1,"4,00","0,00%","50,00%",00:00:09,"0,00"
agente de fiscalização,1,"3,00","0,00%","33,33%",00:01:31,"0,00"
agente de fiscalização meio ambiente,1,"1,00","100,00%","0,00%",00:00:00,"0,00"
Agente de necropsia 2019,1,"3,00","0,00%","0,00%",00:01:34,"6,00"
agente de saúde,1,"3,00","0,00%","0,00%",00:10:19,"5,00"
Agente de Saúde,1,"3,00","0,00%","33,33%",00:09:05,"5,00"
Agente de transito,1,"4,00","0,00%","0,00%",00:05:33,"2,00"
agente de trânsito,1,"2,00","0,00%","0,00%",00:00:23,"2,00"
Agente de trÂNSITO,1,"2,00","0,00%","0,00%",00:00:10,"1,00"
Agente de trânsito de Niterói,1,"6,00","100,00%","0,00%",00:14:21,"2,00"
agente de trânsito detran,1,"2,00","0,00%","0,00%",00:03:51,"11,00"
Agente de transito niteroi,1,"1,00","0,00%","100,00%",00:00:33,"0,00"
Agente de trânsito niteroi,1,"1,00","0,00%","0,00%",00:02:47,"3,00"
Agente de trânsito NITERÓI,1,"2,00","0,00%","0,00%",00:01:08,"2,00"
agente de vigilancia sanitaria,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
Agente de vigilância sanitária,1,"3,00","0,00%","33,33%",00:02:04,"3,00"
Agente eduacador,1,"2,00","0,00%","50,00%",00:00:17,"0,00"
agente eduacdor,1,"2,00","0,00%","0,00%",00:01:17,"2,00"
Agente educacional rio de janeiro,1,"1,00","100,00%","0,00%",00:00:00,"0,00"
Agente educacional RJ 2019,1,"4,00","0,00%","0,00%",00:01:08,"2,00"
agente educadoor,1,"2,00","0,00%","50,00%",00:00:22,"0,00"
agente educadoor RJ,1,"1,00","0,00%","0,00%",00:00:20,"1,00"
AgenTE EDUCADOR,1,"5,00","0,00%","0,00%",00:03:01,"4,00"
AGente educador,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
agente educador - prefeitura do rj,1,"2,00","0,00%","0,00%",00:00:28,"3,00"
Agente Educador 2,1,"1,00","0,00%","0,00%",00:02:54,"2,00"
agente educador 2 RJ,1,"2,00","0,00%","0,00%",00:01:28,"2,00"
Agente Educador 2019,1,"2,00","0,00%","50,00%",00:06:34,"0,00"
Agente educador 2019 do rj,1,"1,00","0,00%","100,00%",00:00:29,"0,00"
Agente educador 2019 prefeitura do rj,1,"2,00","0,00%","50,00%",00:01:57,"0,00"
Agente educador 2019 resultado prova,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
agente educador da Secretaria de Educação do Rio de Janeiro,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
Agente educador diário oficial,1,"1,00","0,00%","0,00%",00:05:51,"6,00"
agente educador II acompanhamento de concurso agente educador II SME,1,"2,00","0,00%","0,00%",00:01:41,"1,00"
Agente educador II classificação,1,"6,00","0,00%","16,67%",00:02:00,"0,00"
